Language,Hours,whisper_base_common_voice,whisper_base_fleurs,whisper_base_voxpopuli,whisper_large_common_voice,whisper_large_fleurs,whisper_large_v2_common_voice,whisper_large_v2_fleurs,whisper_large_v2_voxpopuli,whisper_large_voxpopuli,whisper_medium_common_voice,whisper_medium_fleurs,whisper_medium_voxpopuli,whisper_small_common_voice,whisper_small_fleurs,whisper_small_voxpopuli,whisper_tiny_common_voice,whisper_tiny_fleurs,whisper_tiny_voxpopuli
Arabic,739.0,84.4,48.8,0.0,56.0,18.1,53.8,16.0,0.0,0.0,60.3,20.4,0.0,66.4,30.6,0.0,90.9,63.4,0.0
Bulgarian,86.0,68.1,65.1,0.0,24.1,18.4,19.9,14.6,0.0,0.0,26.7,21.4,0.0,44.8,37.3,0.0,79.3,81.0,0.0
Bengali,1.3,103.7,100.6,0.0,106.0,104.9,103.4,104.1,0.0,0.0,124.7,100.6,0.0,118.6,104.4,0.0,104.1,101.6,0.0
Catalan,1883.0,39.9,29.0,0.0,15.3,8.0,14.1,7.3,0.0,0.0,16.4,9.6,0.0,23.8,16.2,0.0,51.0,42.8,0.0
Czech,192.0,63.1,66.0,54.7,17.1,17.4,13.5,13.3,12.6,15.9,18.8,21.3,18.4,34.1,37.6,28.8,79.7,82.8,73.5
Welsh,73.0,93.8,85.3,0.0,40.3,36.6,34.2,33.0,0.0,0.0,43.6,40.8,0.0,65.4,59.3,0.0,101.8,101.3,0.0
Danish,473.0,57.5,57.6,0.0,18.3,16.8,14.4,13.8,0.0,0.0,19.3,19.5,0.0,32.1,32.8,0.0,77.2,82.0,0.0
German,13344.0,24.5,17.9,20.6,7.7,5.5,6.4,4.5,11.2,11.9,8.5,6.5,12.4,13.0,10.2,14.8,34.5,27.8,27.4
Greek,529.0,51.5,53.5,0.0,18.3,18.7,16.0,12.5,0.0,0.0,20.0,19.0,0.0,31.7,30.8,0.0,61.9,67.4,0.0
English,0.0,21.9,8.9,9.5,10.1,4.5,9.4,4.2,7.0,7.2,11.2,4.4,7.6,14.5,6.1,8.2,28.8,12.4,11.6
Spanish,11100.0,19.6,9.9,14.4,6.4,3.5,5.6,3.0,8.2,8.8,6.9,3.6,9.6,10.3,5.6,11.1,30.3,15.9,19.7
Estonian,41.0,88.1,77.9,83.0,41.4,25.5,35.1,21.9,28.7,33.3,45.6,29.8,38.2,67.2,51.3,59.2,102.1,94.8,99.2
Persian,24.0,99.0,86.1,0.0,44.8,36.1,39.4,32.9,0.0,0.0,49.9,41.0,0.0,71.9,55.8,0.0,120.3,101.8,0.0
Finnish,1066.0,52.9,43.1,39.7,17.0,12.2,14.4,9.7,12.4,15.5,18.8,13.9,16.6,30.5,24.0,24.9,68.5,59.5,54.1
French,9752.0,37.3,28.5,24.9,14.7,7.7,13.9,8.3,11.4,11.0,16.0,8.7,12.2,22.7,15.0,15.7,49.7,41.4,32.9
Hindi,12.0,106.5,101.1,0.0,25.0,26.9,21.9,21.5,0.0,0.0,31.5,26.8,0.0,43.6,38.4,0.0,108.3,102.3,0.0
Hungarian,379.0,71.9,65.0,52.6,23.5,21.0,19.7,17.0,13.8,16.8,26.9,24.3,19.3,44.4,38.9,31.3,87.0,83.8,74.5
Indonesian,1014.0,36.1,33.1,0.0,10.6,8.5,8.5,7.1,0.0,0.0,11.6,10.2,0.0,18.4,16.3,0.0,49.6,51.7,0.0
Italian,2585.0,30.5,17.9,30.8,8.1,4.2,7.1,4.0,19.0,18.4,9.4,5.2,19.7,16.0,9.8,22.9,44.5,29.8,40.5
Japanese,7054.0,24.2,22.8,0.0,9.4,6.4,9.1,5.3,0.0,0.0,10.5,7.1,0.0,14.0,12.0,0.0,36.1,37.0,0.0
Lithuanian,67.0,91.3,87.3,82.1,43.9,35.2,35.2,28.1,33.2,35.0,49.4,41.1,39.3,72.8,65.6,60.1,103.5,98.5,93.1
Latvian,65.0,78.0,79.8,0.0,34.8,28.3,25.5,23.1,0.0,0.0,37.2,32.0,0.0,54.6,53.2,0.0,87.8,91.6,0.0
Malayalam,0.5,122.9,107.4,0.0,107.1,101.4,103.2,100.7,0.0,0.0,137.8,101.1,0.0,104.8,100.9,0.0,102.7,101.5,0.0
Mongolian,0.0,137.0,125.7,0.0,117.4,106.2,128.4,110.5,0.0,0.0,113.4,103.7,0.0,225.8,144.2,0.0,123.0,113.7,0.0
Dutch,2077.0,29.5,33.0,29.4,7.1,8.3,5.8,6.7,12.9,14.0,8.0,9.9,14.9,14.2,16.4,18.8,43.6,49.0,41.9
Polish,4278.0,32.8,30.8,22.1,9.0,7.2,7.6,5.4,7.8,9.0,10.1,8.0,10.1,16.9,14.7,13.3,45.3,45.6,31.4
Portuguese,8573.0,23.7,13.0,0.0,7.1,4.8,6.3,4.3,0.0,0.0,8.1,5.0,0.0,12.5,7.3,0.0,35.2,20.1,0.0
Romanian,356.0,55.9,56.0,49.3,19.8,15.4,15.8,14.4,14.4,17.0,21.5,20.0,18.4,33.2,29.8,28.6,68.2,74.7,65.9
Russian,9761.0,28.8,20.5,0.0,8.2,6.4,7.1,5.6,0.0,0.0,9.3,7.2,0.0,15.0,11.4,0.0,40.6,31.1,0.0
Slovak,90.0,87.2,60.6,63.7,37.9,15.7,31.9,11.7,15.4,19.1,42.0,17.3,23.0,60.4,33.3,37.3,104.0,77.2,78.7
Slovenian,41.0,70.3,74.6,70.5,25.1,27.8,20.6,23.1,27.9,31.3,29.8,31.9,36.3,45.5,49.3,50.8,82.0,87.2,81.9
Serbian,28.0,103.0,64.3,0.0,87.4,29.2,70.5,33.9,0.0,0.0,85.6,44.9,0.0,101.3,42.2,0.0,106.1,83.7,0.0
Swedish,2119.0,42.4,37.4,0.0,12.4,10.5,10.6,8.5,0.0,0.0,13.7,11.2,0.0,22.1,20.8,0.0,58.2,52.7,0.0
Tamil,136.0,49.5,58.7,0.0,17.6,20.6,16.1,17.5,0.0,0.0,19.6,23.1,0.0,28.7,35.2,0.0,105.7,99.9,0.0
Thai,226.0,32.1,38.2,0.0,8.8,13.2,8.0,11.5,0.0,0.0,10.5,15.4,0.0,18.1,21.9,0.0,55.9,58.8,0.0
Turkish,4333.0,38.6,27.5,0.0,16.6,9.4,14.5,8.4,0.0,0.0,17.7,10.4,0.0,23.7,15.9,0.0,53.6,42.5,0.0
Urdu,104.0,58.6,52.0,0.0,28.1,25.0,24.2,22.6,0.0,0.0,29.9,28.2,0.0,39.1,37.3,0.0,74.7,65.2,0.0
Vietnamese,691.0,51.6,40.5,0.0,19.9,10.7,18.2,10.3,0.0,0.0,24.4,12.7,0.0,33.3,21.2,0.0,69.3,60.0,0.0
Chinese,0.0,44.9,34.1,0.0,29.1,19.6,26.8,14.7,0.0,0.0,23.2,12.1,0.0,29.4,20.8,0.0,52.4,40.5,0.0
Afrikaans,4.1,0.0,81.5,0.0,0.0,42.6,0.0,36.7,0.0,0.0,0.0,44.9,0.0,0.0,61.1,0.0,0.0,91.2,0.0
Amharic,0.0,0.0,196.8,0.0,0.0,129.3,0.0,140.3,0.0,0.0,0.0,229.3,0.0,0.0,120.2,0.0,0.0,122.9,0.0
Assamese,0.0,0.0,102.0,0.0,0.0,105.6,0.0,106.2,0.0,0.0,0.0,102.3,0.0,0.0,108.0,0.0,0.0,102.0,0.0
Azerbaijani,47.0,0.0,76.4,0.0,0.0,28.7,0.0,23.4,0.0,0.0,0.0,33.1,0.0,0.0,49.1,0.0,0.0,93.1,0.0
Belarusian,2.4,0.0,91.3,0.0,0.0,56.6,0.0,45.4,0.0,0.0,0.0,60.4,0.0,0.0,75.1,0.0,0.0,94.0,0.0
Bosnian,11.0,0.0,66.7,0.0,0.0,20.7,0.0,15.7,0.0,0.0,0.0,23.9,0.0,0.0,39.4,0.0,0.0,82.1,0.0
Tagalog,75.0,0.0,45.8,0.0,0.0,15.8,0.0,13.8,0.0,0.0,0.0,19.1,0.0,0.0,27.7,0.0,0.0,65.6,0.0
Galician,8.9,0.0,47.4,0.0,0.0,19.0,0.0,15.4,0.0,0.0,0.0,21.2,0.0,0.0,30.2,0.0,0.0,54.8,0.0
Gujarati,0.3,0.0,101.4,0.0,0.0,103.9,0.0,102.7,0.0,0.0,0.0,104.8,0.0,0.0,106.4,0.0,0.0,101.2,0.0
Hausa,0.0,0.0,98.6,0.0,0.0,87.0,0.0,88.9,0.0,0.0,0.0,106.6,0.0,0.0,90.1,0.0,0.0,100.2,0.0
Hebrew,688.0,0.0,61.7,0.0,0.0,30.2,0.0,27.1,0.0,0.0,0.0,33.1,0.0,0.0,44.4,0.0,0.0,71.6,0.0
Croatian,91.0,0.0,59.1,53.6,0.0,16.7,0.0,13.4,16.1,19.0,0.0,19.3,23.9,0.0,33.4,33.7,0.0,79.0,72.4
Armenian,13.0,0.0,126.3,0.0,0.0,53.7,0.0,44.6,0.0,0.0,0.0,60.1,0.0,0.0,86.6,0.0,0.0,118.6,0.0
Icelandic,16.0,0.0,95.5,0.0,0.0,43.0,0.0,38.2,0.0,0.0,0.0,49.9,0.0,0.0,72.6,0.0,0.0,113.3,0.0
Javanese,0.0,0.0,89.5,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,67.9,0.0,0.0,88.6,0.0,0.0,107.3,0.0
Georgian,0.6,0.0,114.7,0.0,0.0,100.5,0.0,105.0,0.0,0.0,0.0,117.3,0.0,0.0,118.3,0.0,0.0,123.0,0.0
Kazakh,12.0,0.0,109.2,0.0,0.0,43.8,0.0,37.7,0.0,0.0,0.0,48.8,0.0,0.0,70.3,0.0,0.0,165.2,0.0
Khmer,1.3,0.0,101.6,0.0,0.0,96.0,0.0,99.7,0.0,0.0,0.0,98.9,0.0,0.0,104.4,0.0,0.0,100.6,0.0
Kannada,3.8,0.0,107.2,0.0,0.0,69.8,0.0,37.0,0.0,0.0,0.0,77.7,0.0,0.0,100.4,0.0,0.0,100.7,0.0
Korean,7993.0,0.0,27.8,0.0,0.0,15.2,0.0,14.3,0.0,0.0,0.0,16.4,0.0,0.0,19.6,0.0,0.0,36.1,0.0
Luxembourgish,0.0,0.0,100.7,0.0,0.0,86.5,0.0,88.0,0.0,0.0,0.0,90.0,0.0,0.0,100.1,0.0,0.0,99.1,0.0
Lingala,0.0,0.0,96.7,0.0,0.0,76.8,0.0,75.6,0.0,0.0,0.0,83.2,0.0,0.0,91.3,0.0,0.0,105.4,0.0
Lao,1.0,0.0,105.1,0.0,0.0,101.6,0.0,101.5,0.0,0.0,0.0,101.4,0.0,0.0,102.2,0.0,0.0,115.1,0.0
Maori,0.0,0.0,77.5,0.0,0.0,45.7,0.0,38.5,0.0,0.0,0.0,77.8,0.0,0.0,59.5,0.0,0.0,94.5,0.0
Macedonian,16.0,0.0,59.9,0.0,0.0,20.6,0.0,16.5,0.0,0.0,0.0,22.0,0.0,0.0,36.9,0.0,0.0,73.3,0.0
Marathi,0.6,0.0,100.3,0.0,0.0,43.7,0.0,38.3,0.0,0.0,0.0,63.2,0.0,0.0,60.2,0.0,0.0,100.3,0.0
Malay,382.0,0.0,35.1,0.0,0.0,10.2,0.0,8.7,0.0,0.0,0.0,12.2,0.0,0.0,18.9,0.0,0.0,51.2,0.0
Maltese,1.1,0.0,97.6,0.0,0.0,80.5,0.0,76.6,0.0,0.0,0.0,83.2,0.0,0.0,92.2,0.0,0.0,100.8,0.0
Myanmar,0.0,0.0,122.6,0.0,0.0,124.5,0.0,115.7,0.0,0.0,0.0,123.0,0.0,0.0,110.1,0.0,0.0,124.8,0.0
Norwegian,266.0,0.0,44.0,0.0,0.0,11.4,0.0,9.5,0.0,0.0,0.0,12.9,0.0,0.0,24.2,0.0,0.0,62.0,0.0
Nepali,0.6,0.0,102.4,0.0,0.0,52.2,0.0,47.1,0.0,0.0,0.0,54.4,0.0,0.0,69.5,0.0,0.0,101.8,0.0
Occitan,0.0,0.0,82.9,0.0,0.0,75.9,0.0,75.3,0.0,0.0,0.0,79.5,0.0,0.0,87.3,0.0,0.0,95.9,0.0
Punjabi,0.8,0.0,101.5,0.0,0.0,102.8,0.0,102.4,0.0,0.0,0.0,102.0,0.0,0.0,103.6,0.0,0.0,102.6,0.0
Pashto,0.0,0.0,99.0,0.0,0.0,92.7,0.0,93.7,0.0,0.0,0.0,119.4,0.0,0.0,92.9,0.0,0.0,105.6,0.0
Sindhi,0.0,0.0,103.9,0.0,0.0,177.9,0.0,156.5,0.0,0.0,0.0,147.0,0.0,0.0,131.7,0.0,0.0,105.8,0.0
Shona,0.0,0.0,126.0,0.0,0.0,130.0,0.0,121.0,0.0,0.0,0.0,143.9,0.0,0.0,140.0,0.0,0.0,128.1,0.0
Somali,0.0,0.0,109.6,0.0,0.0,103.5,0.0,102.9,0.0,0.0,0.0,104.0,0.0,0.0,105.3,0.0,0.0,105.6,0.0
Swahili,5.4,0.0,92.5,0.0,0.0,47.9,0.0,39.3,0.0,0.0,0.0,52.8,0.0,0.0,73.7,0.0,0.0,100.9,0.0
Telugu,4.3,0.0,105.2,0.0,0.0,100.6,0.0,99.0,0.0,0.0,0.0,82.8,0.0,0.0,98.2,0.0,0.0,105.1,0.0
Tajik,0.3,0.0,109.3,0.0,0.0,74.5,0.0,85.8,0.0,0.0,0.0,74.0,0.0,0.0,84.3,0.0,0.0,101.7,0.0
Ukrainian,697.0,0.0,37.7,0.0,0.0,10.3,0.0,8.6,0.0,0.0,0.0,11.6,0.0,0.0,19.3,0.0,0.0,51.2,0.0
Uzbek,0.3,0.0,114.0,0.0,0.0,93.3,0.0,90.2,0.0,0.0,0.0,109.6,0.0,0.0,107.7,0.0,0.0,105.2,0.0
Yoruba,0.0,0.0,101.8,0.0,0.0,111.7,0.0,94.8,0.0,0.0,0.0,105.1,0.0,0.0,116.4,0.0,0.0,106.4,0.0
en accented,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,18.6,20.8,0.0,0.0,19.1,0.0,0.0,19.2,0.0,0.0,18.8
Sundanese,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burmese,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malagasy,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yiddish,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haitian Creole,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinhala,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albanian,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basque,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
